,GATE_NAME,GATE_TYPE,BOOL_FUNC,VARIABLES,CONTROL_VECTOR,MEAN,MEDIAN,SIZE
0,U303,AND2X4,(net_155 & ((((! net_80) | ((! net_81) | ((! net_252) | (! net_82)))) | (((! net_251) | ((! net_71) | ((! net_69) | (! net_70)))) | (((! net_63) | ((! net_62) | ((! net_60) | (! net_61)))) | ((! net_68) | ((! net_250) | ((! net_248) | (! net_249))))))) | (((! net_89) | ((! net_88) | ((! net_86) | (! net_87)))) | ((! net_159) | ((! net_158) | ((! net_156) | (! net_157))))))),"['net_155', 'net_156', 'net_157', 'net_158', 'net_159', 'net_248', 'net_249', 'net_250', 'net_251', 'net_252', 'net_60', 'net_61', 'net_62', 'net_63', 'net_68', 'net_69', 'net_70', 'net_71', 'net_80', 'net_81', 'net_82', 'net_86', 'net_87', 'net_88', 'net_89']","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.04,0.0,25
0,U302,ISOLORX8,((((! net_80) | ((! net_81) | ((! (net_140 ^ net_228)) | (! net_82)))) | (((! (net_227 ^ net_75)) | ((! (net_143 & net_182)) | ((! (net_182 & (net_140 ^ net_228))) | (! (net_182 & net_253))))) | (((! net_63) | ((! net_62) | ((! (! net_193)) | (! net_61)))) | ((! (net_182 & (net_227 ^ net_75))) | ((! (net_64 ^ net_65)) | ((! (net_224 ^ net_67)) | (! (net_136 ^ net_225)))))))) | (((! net_89) | ((! net_88) | ((! (net_174 & net_176)) | (! net_87)))) | ((! net_159) | ((! net_158) | ((! net_156) | (! net_157)))))),"['net_136', 'net_140', 'net_143', 'net_156', 'net_157', 'net_158', 'net_159', 'net_174', 'net_176', 'net_182', 'net_193', 'net_224', 'net_225', 'net_227', 'net_228', 'net_253', 'net_61', 'net_62', 'net_63', 'net_64', 'net_65', 'net_67', 'net_75', 'net_80', 'net_81', 'net_82', 'net_87', 'net_88', 'net_89']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,29
0,U301,ISOLORX8,(((! net_89) | ((! net_88) | ((! (((! net_130) & (! net_134)) & (! net_163))) | (! net_87)))) | ((! net_159) | ((! net_158) | ((! net_156) | (! net_157))))),"['net_130', 'net_134', 'net_156', 'net_157', 'net_158', 'net_159', 'net_163', 'net_87', 'net_88', 'net_89']","[0.001953125, 0.001953125, 0.001953125, 0.001953125, 0.001953125, 0.001953125, 0.001953125, 0.001953125, 0.001953125, 0.001953125]",0.001953125,0.001953125,10
0,U300,NAND4X1,((! net_159) | ((! net_158) | ((! net_156) | (! net_157)))),"['net_156', 'net_157', 'net_158', 'net_159']","[0.125, 0.125, 0.125, 0.125]",0.125,0.125,4
0,U297,NAND4X1,((! net_89) | ((! net_88) | ((! (((! net_130) & (! net_134)) & (! ((! net_144) | ((! net_99) | ((! net_100) | (! net_101))))))) | (! net_87)))),"['net_100', 'net_101', 'net_130', 'net_134', 'net_144', 'net_87', 'net_88', 'net_89', 'net_99']","[0.00390625, 0.00390625, 0.00390625, 0.00390625, 0.00390625, 0.00390625, 0.00390625, 0.00390625, 0.00390625]",0.00390625,0.00390625,9
0,U296,OR4X4,(((! net_80) | ((! net_81) | ((! (net_140 ^ ((! net_72) | (! net_73)))) | (! net_82)))) | (((! (((! net_140) & (! ((! net_72) | (! net_73)))) ^ net_75)) | ((! (net_143 & ((! net_180) | ((! net_129) & (! net_181))))) | ((! (((! net_180) | ((! net_129) & (! net_181))) & (net_140 ^ ((! net_72) | (! net_73))))) | (! (((! net_180) | ((! net_129) & (! net_181))) & (net_72 ^ net_73)))))) | (((! net_63) | ((! net_62) | ((! (! (((! net_191) | (! net_61)) & ((! net_192) | (! net_198))))) | (! net_61)))) | ((! (((! net_180) | ((! net_129) & (! net_181))) & (((! net_140) & (! ((! net_72) | (! net_73)))) ^ net_75))) | ((! (net_64 ^ net_65)) | ((! (((! net_136) & (! ((! net_64) | (! net_65)))) ^ net_67)) | (! (net_136 ^ ((! net_64) | (! net_65)))))))))),"['net_129', 'net_136', 'net_140', 'net_143', 'net_180', 'net_181', 'net_191', 'net_192', 'net_198', 'net_61', 'net_62', 'net_63', 'net_64', 'net_65', 'net_67', 'net_72', 'net_73', 'net_75', 'net_80', 'net_81', 'net_82']","[0.0001, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0002, 0.0, 0.0, 0.0, 0.0001, 0.0002, 0.0002, 0.0, 0.0, 0.0001, 0.0001, 0.0, 0.0001, 0.0001, 0.0]",6.19047619047619e-05,0.0,21
0,U295,NAND4X1,((! net_80) | ((! net_81) | ((! (net_140 ^ ((! net_72) | (! net_73)))) | (! net_82)))),"['net_140', 'net_72', 'net_73', 'net_80', 'net_81', 'net_82']","[0.125, 0.0625, 0.0625, 0.125, 0.125, 0.125]",0.10416666666666667,0.125,6
0,U294,NAND4X1,((! (((! net_140) & (! ((! net_72) | (! net_73)))) ^ net_75)) | ((! (net_143 & ((! (((! net_179) | (! net_187)) & ((! net_188) | (! net_198)))) | ((! net_129) & (! (! net_191)))))) | ((! (((! (((! net_179) | (! net_187)) & ((! net_188) | (! net_198)))) | ((! net_129) & (! (! net_191)))) & (net_140 ^ ((! net_72) | (! net_73))))) | (! (((! (((! net_179) | (! net_187)) & ((! net_188) | (! net_198)))) | ((! net_129) & (! (! net_191)))) & (net_72 ^ net_73)))))),"['net_129', 'net_140', 'net_143', 'net_179', 'net_187', 'net_188', 'net_191', 'net_198', 'net_72', 'net_73', 'net_75']","[0.017578125, 0.072265625, 0.072265625, 0.017578125, 0.017578125, 0.017578125, 0.017578125, 0.017578125, 0.072265625, 0.072265625, 0.072265625]",0.042436079545454544,0.017578125,11
0,U293,NAND4X1,((! (((! (((! net_179) | (! net_187)) & ((! net_188) | (! net_198)))) | ((! net_129) & (! (! net_191)))) & (((! net_140) & (! net_228)) ^ net_75))) | ((! (net_64 ^ net_65)) | ((! (((! net_136) & (! ((! net_64) | (! net_65)))) ^ net_67)) | (! (net_136 ^ ((! net_64) | (! net_65))))))),"['net_129', 'net_136', 'net_140', 'net_179', 'net_187', 'net_188', 'net_191', 'net_198', 'net_228', 'net_64', 'net_65', 'net_67', 'net_75']","[0.017578125, 0.072265625, 0.0361328125, 0.017578125, 0.017578125, 0.017578125, 0.017578125, 0.017578125, 0.0361328125, 0.072265625, 0.072265625, 0.072265625, 0.072265625]",0.04146634615384615,0.0361328125,13
0,U292,NAND4X1,((! net_63) | ((! net_62) | ((! (! (((! ((! net_131) & (! net_195))) | (! net_61)) & ((! ((! net_178) & (! net_72))) | (! ((! net_129) & (! net_135))))))) | (! net_61)))),"['net_129', 'net_131', 'net_135', 'net_178', 'net_195', 'net_61', 'net_62', 'net_63', 'net_72']","[0.01171875, 0.05859375, 0.01171875, 0.01171875, 0.05859375, 0.07421875, 0.07421875, 0.07421875, 0.01171875]",0.04296875,0.05859375,9
