,GATE_NAME,GATE_TYPE,BOOL_FUNC,VARIABLES,CONTROL_VECTOR,MEAN,MEDIAN,SIZE
0,U3788,NAND3X1,((! net_4085) | ((! net_4083) | (! net_4084))),"['net_4083', 'net_4084', 'net_4085']","[0.25, 0.25, 0.25]",0.25,0.25,3
0,U3789,NAND3X1,((! net_4046) | ((! net_4044) | (! net_4045))),"['net_4044', 'net_4045', 'net_4046']","[0.25, 0.25, 0.25]",0.25,0.25,3
0,U3790,NAND3X1,((! net_4061) | ((! net_4059) | (! net_4060))),"['net_4059', 'net_4060', 'net_4061']","[0.25, 0.25, 0.25]",0.25,0.25,3
0,U3791,INVX0,(! net_3825),['net_3825'],[1.0],1.0,1.0,1
0,U3792,INVX0,(! net_3851),['net_3851'],[1.0],1.0,1.0,1
0,U3793,NAND2X0,((! net_3249) | (! net_3253)),"['net_3249', 'net_3253']","[0.5, 0.5]",0.5,0.5,2
0,U3794,INVX0,(! net_3903),['net_3903'],[1.0],1.0,1.0,1
0,U3795,AND2X1,(net_3881 & net_4030),"['net_3881', 'net_4030']","[0.5, 0.5]",0.5,0.5,2
0,U3796,INVX0,(! net_4130),['net_4130'],[1.0],1.0,1.0,1
0,U3797,INVX0,(! net_3810),['net_3810'],[1.0],1.0,1.0,1
0,U3798,OA222X1,((net_1766 | net_5803) & ((net_1767 | net_5811) & (net_1768 | net_5796))),"['net_1766', 'net_1767', 'net_1768', 'net_5796', 'net_5803', 'net_5811']","[0.28125, 0.28125, 0.28125, 0.28125, 0.28125, 0.28125]",0.28125,0.28125,6
0,U3799,NAND2X0,((! net_4096) | (! net_5405)),"['net_4096', 'net_5405']","[0.5, 0.5]",0.5,0.5,2
0,U3800,INVX0,(! net_4087),['net_4087'],[1.0],1.0,1.0,1
0,U3801,NAND2X0,((! net_1720) | (! net_4986)),"['net_1720', 'net_4986']","[0.5, 0.5]",0.5,0.5,2
0,U3802,NAND2X0,((! net_5176) | (! net_652)),"['net_5176', 'net_652']","[0.5, 0.5]",0.5,0.5,2
0,U3803,NAND2X0,((! net_3452) | (! net_3456)),"['net_3452', 'net_3456']","[0.5, 0.5]",0.5,0.5,2
0,U3804,AOI222X1,(((! net_1716) | (! net_5874)) & (((! net_1715) | (! net_522)) & ((! net_1717) | (! net_5946)))),"['net_1715', 'net_1716', 'net_1717', 'net_522', 'net_5874', 'net_5946']","[0.28125, 0.28125, 0.28125, 0.28125, 0.28125, 0.28125]",0.28125,0.28125,6
0,U3805,INVX0,(! net_5804),['net_5804'],[1.0],1.0,1.0,1
0,U3806,INVX0,(! net_4139),['net_4139'],[1.0],1.0,1.0,1
0,U3807,INVX0,(! net_3837),['net_3837'],[1.0],1.0,1.0,1
0,U3808,OA222X1,((net_1481 | net_5805) & ((net_1482 | net_5812) & (net_1483 | net_5798))),"['net_1481', 'net_1482', 'net_1483', 'net_5798', 'net_5805', 'net_5812']","[0.28125, 0.28125, 0.28125, 0.28125, 0.28125, 0.28125]",0.28125,0.28125,6
0,U3809,NAND2X0,((! net_3917) | (! net_5406)),"['net_3917', 'net_5406']","[0.5, 0.5]",0.5,0.5,2
0,U3810,INVX0,(! net_3908),['net_3908'],[1.0],1.0,1.0,1
0,U3811,NAND2X0,((! net_1434) | (! net_4989)),"['net_1434', 'net_4989']","[0.5, 0.5]",0.5,0.5,2
0,U3812,NAND2X0,((! net_1432) | (! net_5179)),"['net_1432', 'net_5179']","[0.5, 0.5]",0.5,0.5,2
0,U3813,NAND2X0,((! net_3386) | (! net_3390)),"['net_3386', 'net_3390']","[0.5, 0.5]",0.5,0.5,2
0,U3814,INVX0,(! net_5806),['net_5806'],[1.0],1.0,1.0,1
0,U3815,INVX0,(! net_4121),['net_4121'],[1.0],1.0,1.0,1
0,U3816,INVX0,(! net_3889),['net_3889'],[1.0],1.0,1.0,1
0,U3817,OA222X1,((net_5807 | net_910) & ((net_5793 | net_912) & (net_5943 | net_911))),"['net_5793', 'net_5807', 'net_5943', 'net_910', 'net_911', 'net_912']","[0.28125, 0.28125, 0.28125, 0.28125, 0.28125, 0.28125]",0.28125,0.28125,6
0,U3818,NAND2X0,((! net_3957) | (! net_5408)),"['net_3957', 'net_5408']","[0.5, 0.5]",0.5,0.5,2
0,U3819,NAND2X0,((! net_4995) | (! net_589)),"['net_4995', 'net_589']","[0.5, 0.5]",0.5,0.5,2
0,U3820,NAND2X0,((! net_5185) | (! net_864)),"['net_5185', 'net_864']","[0.5, 0.5]",0.5,0.5,2
0,U3822,NAND2X0,((! net_793) | (! net_835)),"['net_793', 'net_835']","[0.5, 0.5]",0.5,0.5,2
0,U3823,NAND2X0,((! net_510) | (! net_587)),"['net_510', 'net_587']","[0.5, 0.5]",0.5,0.5,2
0,U3824,NAND2X0,((! net_5961) | (! net_836)),"['net_5961', 'net_836']","[0.5, 0.5]",0.5,0.5,2
0,U3825,INVX0,(! net_5794),['net_5794'],[1.0],1.0,1.0,1
0,U3827,INVX0,(! net_1649),['net_1649'],[1.0],1.0,1.0,1
0,U3828,INVX0,(! net_5947),['net_5947'],[1.0],1.0,1.0,1
0,U3829,INVX0,(! net_1363),['net_1363'],[1.0],1.0,1.0,1
0,U3830,INVX0,(! net_5952),['net_5952'],[1.0],1.0,1.0,1
0,U3831,INVX0,(! net_794),['net_794'],[1.0],1.0,1.0,1
0,U3832,INVX0,(! net_5962),['net_5962'],[1.0],1.0,1.0,1
0,U3833,INVX0,(! net_4030),['net_4030'],[1.0],1.0,1.0,1
